,Time,User,Tweet
91,2022-11-20 08:20:44,AJENews,World Cup 2022 live: Qatar prepares for historic kickoff https://t.co/s9xqysB6t5
92,2022-11-16 09:46:55,AJENews,Breaking: Oil tanker hit by armed drone off coast of Oman: Official https://t.co/zeFUViyjLy https://t.co/QfO9MiFbdW
93,2022-11-16 06:41:38,AJENews,BREAKING: G20 leaders declaration denounces ‘Russian aggression’ in Ukraine https://t.co/iSE4s7etoJ https://t.co/hA6QictNMP
94,2022-11-16 02:36:45,AJENews,BREAKING: Trump says he will run for president again in 2024 https://t.co/l9CkFghwX5 https://t.co/3acNm9W7qy
95,2022-11-14 07:07:29,AJENews,"BREAKING: Iran rockets hit Kurdish party HQ in Iraq’s Erbil, kill one https://t.co/xeSyPrTHvv https://t.co/L8JATJJSdR"
96,2022-11-14 02:50:15,AJENews,BREAKING: Turkish police arrest 'person who left the bomb' that caused the deadly explosion on Istanbul's Istiklal avenue https://t.co/V4qdvdaxJd https://t.co/j5TmB3NHJ6
97,2022-11-13 18:41:26,AJENews,"UPDATE: At least six people have been killed and more than 80 were wounded in what appears to be a ""terrorist attack,"" according to Vice President Fuat Oktay 

https://t.co/PYuWPp149h"
98,2022-11-13 13:56:31,AJENews,"BREAKING: Several injured in explosion in central Istanbul: Turkish media
https://t.co/ulBR9EGprQ https://t.co/2YjuMxmKef"
99,2022-11-09 15:43:35,AJENews,Russia orders troop withdrawal from Ukraine’s Kherson city https://t.co/J44geXbOt2 https://t.co/tYx2WsviUV
100,2022-11-09 15:40:29,AJENews,BREAKING: Russia orders troops to pullback from Kherson city https://t.co/pgtPyv298l https://t.co/rZlD35NkKB
101,2022-11-09 11:35:14,AJENews,"BREAKING: Meta to cut more than 11,000 jobs https://t.co/ipZOJTdUMF https://t.co/kPYIBM7hJO"
102,2022-11-06 09:10:11,AJENews,BREAKING: Tanzania’s Precision Air plane crashes into Lake Victoria https://t.co/sYgWHVHTXI https://t.co/8mGEaHK4k9
103,2022-11-03 11:55:19,AJENews,BREAKING: Pakistan’s ex-PM Imran Khan injured by gunfire during march https://t.co/IXRUceQNgQ https://t.co/tjOqrUE8Po
104,2022-11-02 20:52:03,AJENews,BREAKING: Parkland school shooter Nikolas Cruz sentenced to life in prison https://t.co/keFkTpL8QF https://t.co/QceAmcIUXP
105,2022-11-02 16:34:51,AJENews,BREAKING: Ethiopia’s warring sides agree ‘cessation of hostilities’: AU https://t.co/V1ZJG4y07O https://t.co/SkRqJ3r7FQ
106,2022-11-01 20:23:01,AJENews,"BREAKING: Bolsonaro breaks silence, says will follow Brazil’s constitution https://t.co/byg4qhhcmw https://t.co/88vvCN1OYT"
107,2022-11-01 20:20:56,AJENews,BREAKING: Netanyahu poised for comeback in Israeli election: Exit polls https://t.co/ybrPnuIJwp https://t.co/h6bJD1pPkV
108,2022-10-30 23:15:05,AJENews,BREAKING: Lula da Silva narrowly defeats Jair Bolsonaro in Brazil election https://t.co/omRlkR4aUS https://t.co/LN7O16EEOn
109,2022-10-30 15:39:17,AJENews,BREAKING: At least 30 people killed in bridge collapse in India: Reports https://t.co/GR67326PNB https://t.co/5Dj8kMXkPg
110,2022-10-29 17:42:19,AJENews,"BREAKING: At least 59 people were killed in a major stampede in South Korea’s capital Seoul
https://t.co/S7LtdQTxQT https://t.co/RDerbfwEX3"
111,2022-10-29 13:28:37,AJENews,DEVELOPING: ‘Scores of casualties’ after twin blasts in Somalia’s capital https://t.co/EhuUJUWgDQ https://t.co/JcFYEZzFRH
112,2022-10-26 15:58:54,AJENews,BREAKING: Attack on Shiraz shrine kills 15: Iranian state media https://t.co/TCdSNQZIoB https://t.co/3H70YzDvgX
113,2022-10-24 13:04:05,AJENews,BREAKING: Rishi Sunak wins race to become the UK’s new Prime Minister https://t.co/jq096U2GcQ https://t.co/Z77bw2PXNA
114,2022-10-23 10:54:21,AJENews,"BREAKING: Car explosion, gunfire hit hotel in Somalia https://t.co/ly1p6YahOA https://t.co/BOSzHddbCZ"
115,2022-10-23 04:48:26,AJENews,"BREAKING: China's Xi Jinping secures historic third term, stacks top governing body with loyalists https://t.co/gAgwgCaEoD https://t.co/bzh7yse8jU"
116,2022-10-21 09:30:32,AJENews,BREAKING: Pakistan election commission disqualifies former PM Imran Khan https://t.co/YxahH9KAOM https://t.co/dcF15r8efN
117,2022-10-20 12:40:41,AJENews,BREAKING: UK Prime Minister Liz Truss steps down after six weeks in office https://t.co/1R8MsuCGd1 https://t.co/b88oyIv8h6
118,2022-10-17 16:21:57,AJENews,BREAKING: Aircraft crashes into Russian residential building in Yeysk city https://t.co/HZ2n2GOyvk https://t.co/5bC2X1e2mB
119,2022-10-13 19:38:24,AJENews,BREAKING: Jan 6 hearing live news: Panel votes to subpoena Trump https://t.co/xi5OMMXOXZ https://t.co/PYzh6zKVW5
120,2022-10-13 17:41:40,AJENews,DEVELOPING: North Korean aircraft buzz South Korea border; fighters scrambled https://t.co/0VcJpuNAgI https://t.co/uojuYcw4c7
121,2022-10-13 15:21:45,AJENews,"BREAKING: Iraqi parliament elects new president, breaking political impasse https://t.co/x5309zSKBL https://t.co/m04AhvCD48"
